,mean,sd,hpd_3%,hpd_97%
α_mean,0.461,0.048,0.372,0.554
α_sd,0.364,0.036,0.294,0.429
iotaP_mean,0.493,0.033,0.435,0.559
iotaP_sd,0.2,0.021,0.162,0.238
iotaPabs_mean,0.303,0.027,0.252,0.349
iotaPabs_sd,0.168,0.018,0.136,0.199
iotaN_mean,0.577,0.037,0.51,0.646
iotaN_sd,0.259,0.026,0.214,0.305
α[0],0.051,0.008,0.038,0.067
α[1],0.405,0.046,0.324,0.491
α[2],0.001,0.001,0.0,0.003
α[3],0.887,0.08,0.742,0.992
α[4],0.173,0.026,0.13,0.224
α[5],0.026,0.005,0.017,0.035
α[6],0.019,0.004,0.011,0.027
α[7],0.907,0.078,0.753,0.995
α[8],0.848,0.076,0.7,0.962
α[9],0.424,0.083,0.265,0.572
α[10],0.074,0.013,0.051,0.099
α[11],0.341,0.034,0.281,0.408
α[12],0.155,0.015,0.129,0.188
α[13],0.394,0.043,0.314,0.472
α[14],0.922,0.071,0.779,0.998
α[15],0.831,0.109,0.625,0.974
α[16],0.306,0.035,0.241,0.367
α[17],0.002,0.001,0.001,0.005
α[18],0.23,0.054,0.131,0.329
α[19],0.01,0.017,0.0,0.029
α[20],0.606,0.066,0.485,0.723
α[21],0.034,0.005,0.026,0.044
α[22],0.908,0.076,0.769,0.997
α[23],0.839,0.091,0.675,0.973
α[24],0.784,0.076,0.635,0.905
α[25],0.468,0.055,0.371,0.578
α[26],0.197,0.031,0.141,0.255
α[27],0.006,0.003,0.002,0.012
α[28],0.026,0.004,0.019,0.034
α[29],0.063,0.011,0.043,0.082
α[30],0.885,0.072,0.75,0.987
α[31],0.421,0.063,0.307,0.536
α[32],0.014,0.003,0.009,0.02
α[33],0.442,0.05,0.343,0.533
α[34],0.138,0.01,0.12,0.156
α[35],0.857,0.087,0.695,0.985
α[36],0.473,0.049,0.382,0.562
α[37],0.243,0.049,0.149,0.329
α[38],0.904,0.079,0.768,0.997
α[39],0.702,0.077,0.569,0.85
α[40],0.783,0.095,0.621,0.942
α[41],0.733,0.072,0.583,0.85
α[42],0.035,0.004,0.026,0.042
α[43],0.842,0.104,0.652,0.982
α[44],0.136,0.014,0.111,0.162
α[45],0.147,0.014,0.122,0.173
α[46],0.927,0.062,0.806,0.996
α[47],0.913,0.072,0.779,0.996
α[48],0.535,0.063,0.411,0.653
α[49],0.049,0.007,0.037,0.062
α[50],0.007,0.003,0.003,0.012
α[51],0.807,0.119,0.594,0.971
α[52],0.793,0.082,0.645,0.926
