ID,trial,stimulus,DV
101,1,A,3.55470679
101,2,A,4.986574074
101,3,A,4.988348765
101,1,BC,4.984008488
101,2,BC,4.986574074
101,3,BC,4.991473765
101,1,JK,4.965779321
101,2,JK,4.986979167
101,3,JK,4.991473765
101,1,T,4.981404321
101,2,T,4.978227880666666
101,3,T,4.989911265
101,1,ABC,3.559124228
101,2,ABC,1.016030093
101,3,ABC,1.012596451
101,1,C,1.017418981
101,2,C,1.008622685
101,3,C,1.000887346
101,1,K,1.011516204
101,2,K,1.008622685
101,3,K,1.005960648
101,1,TJK,1.016660236666667
101,2,TJK,1.011567644333333
101,3,TJK,1.004269547333333
102,1,A,2.810673293
102,2,A,2.905336647
102,3,A,3.785705834
102,1,BC,2.976334162
102,2,BC,2.976334162
102,3,BC,2.820139628
102,1,JK,5
102,2,JK,2.952668323
102,3,JK,3.785705834
102,1,T,3.165660868333334
102,2,T,2.955823768333333
102,3,T,4.118605293333333
102,1,ABC,2.924269317
102,2,ABC,3.004733168
102,3,ABC,3.099396521
102,1,C,3
102,2,C,2.801206958
102,3,C,2.881670808
102,1,K,3.009466335
102,2,K,2.929002485
102,3,K,2.990533665
102,1,TJK,2.962134658666667
102,2,TJK,2.949512878333334
102,3,TJK,2.979489606666667
103,1,A,4.983539095
103,2,A,4.967078189
103,3,A,4.983539095
103,1,BC,4.975308642
103,2,BC,4.855967078
103,3,BC,4.979423868
103,1,JK,4.995884774
103,2,JK,4.983539095
103,3,JK,4.971193416
103,1,T,4.983539094666667
103,2,T,4.971193415666666
103,3,T,4.991769547333334
103,1,ABC,1.012345679
103,2,ABC,1.004115226
103,3,ABC,1
103,1,C,1.020576132
103,2,C,1.004115226
103,3,C,1
103,1,K,1.008230453
103,2,K,1
103,3,K,1.008230453
103,1,TJK,1.015089163333333
103,2,TJK,1.015089163333333
103,3,TJK,1.006858710666667
104,1,A,4.71875
104,2,A,4.811342593
104,3,A,4.678240741
104,1,BC,4.71875
104,2,BC,4.684027778
104,3,BC,4.770833333
104,1,JK,4.724537037
104,2,JK,4.614583333
104,3,JK,4.77662037
104,1,T,4.724537037
104,2,T,4.637731481333333
104,3,T,4.711033950666667
104,1,ABC,1.130787037
104,2,ABC,4.811342593
104,3,ABC,4.770833333
104,1,C,4.724537037
104,2,C,1.275462963
104,3,C,4.678240741
104,1,K,1.350694444
104,2,K,4.811342593
104,3,K,4.77662037
104,1,TJK,4.741898148000001
104,2,TJK,4.811342593
104,3,TJK,2.436728395
105,1,A,4.09847608
105,2,A,4.772878086
105,3,A,4.860744599
105,1,BC,4.624035494
105,2,BC,4.919116512
105,3,BC,4.815509259
105,1,JK,4.744193673
105,2,JK,1.50628858
105,3,JK,4.978491512
105,1,T,3.594894547333334
105,2,T,3.927199074
105,3,T,4.940444958666667
105,1,ABC,1.025482253
105,2,ABC,1.003298611
105,3,ABC,1.01251929
105,1,C,1.039236111
105,2,C,1.454552469
105,3,C,1.01251929
105,1,K,1.161419753
105,2,K,1.048939043
105,3,K,1.025540123
105,1,TJK,3.687274948666667
105,2,TJK,2.456950874333333
105,3,TJK,1.025835905
106,1,A,4.958847737
106,2,A,4.9218107
106,3,A,4.991769547
106,1,BC,4.95473251
106,2,BC,4.958847737
106,3,BC,4.950617284
106,1,JK,4.950617284
106,2,JK,4.925925926
106,3,JK,4.942386831
106,1,T,4.930041152333334
106,2,T,4.939643347
106,3,T,4.972565157666667
106,1,ABC,1.098765432
106,2,ABC,1.037037037
106,3,ABC,1
106,1,C,1.090534979
106,2,C,1.041152263
106,3,C,1.016460905
106,1,K,1.086419753
106,2,K,1.102880658
106,3,K,1.111111111
106,1,TJK,1.053497942333333
106,2,TJK,2.319615912
106,3,TJK,1.060356653
107,1,A,4.65577342
107,2,A,1.33046669
107,3,A,4.73374613
107,1,BC,1.578144708
107,2,BC,1.33046669
107,3,BC,4.623667011
107,1,JK,1.29377365
107,2,JK,1.33046669
107,3,JK,4.72457287
107,1,T,4.735275006666666
107,2,T,1.33046669
107,3,T,1.29377365
107,1,ABC,4.78419906
107,2,ABC,4.628253641
107,3,ABC,1.33046669
107,1,C,4.586973971
107,2,C,1.28918702
107,3,C,4.70622635
107,1,K,1.29377365
107,2,K,1.33046669
107,3,K,4.67411994
107,1,TJK,4.713870733333334
107,2,TJK,2.440431143333333
107,3,TJK,4.735275006666667
108,1,A,4.878654971
108,2,A,4.81042885
108,3,A,4.890838207
108,1,BC,1.09454191
108,2,BC,4.622807018
108,3,BC,4.079434698
108,1,JK,4.910331384
108,2,JK,4.817738791
108,3,JK,4.593567251
108,1,T,4.950129954333334
108,2,T,4.820987654333333
108,3,T,4.872969460666667
108,1,ABC,1.050682261
108,2,ABC,1.121345029
108,3,ABC,4.337719298
108,1,C,1.055555556
108,2,C,1.082358674
108,3,C,1.099415205
108,1,K,1.004385965
108,2,K,1.150584795
108,3,K,1.053118908
108,1,TJK,1.020630279666667
108,2,TJK,2.004223521666667
108,3,TJK,1.067738791333333
109,1,A,4.975308642
109,2,A,4.983539095
109,3,A,4.987654321
109,1,BC,4.987654321
109,2,BC,4.983539095
109,3,BC,4.987654321
109,1,JK,4.987654321
109,2,JK,4.983539095
109,3,JK,4.971193416
